time_slot,total_movement_pct,trading_days,candle_count,avg_movement_pct
00:00:00,196.78925259917648,806,24180,0.2441554002471172
00:30:00,193.47782486019932,806,24180,0.24004692910694705
01:00:00,234.13964203025776,806,24154,0.2904958337844389
01:30:00,250.59953271228778,805,24150,0.31130376734445686
02:00:00,313.52832261261574,805,24150,0.3894761771585289
02:30:00,287.62093314212774,805,24150,0.3572930846486059
03:00:00,449.06622432198395,805,24131,0.5578462413937689
03:30:00,384.55728881010106,804,24120,0.4783050855847028
04:00:00,434.26218073275095,804,24120,0.5401270904636206
04:30:00,355.9941738024427,804,24120,0.4427788231373665
05:00:00,338.05865218885725,804,24120,0.42047096043390203
05:30:00,314.191156091873,804,24120,0.3907850200147674
06:00:00,334.93684591577255,804,24120,0.4165881168106624
06:30:00,332.3781889906952,804,24120,0.4134057076998697
07:00:00,385.0730010977186,804,24120,0.47894651877825695
07:30:00,362.85637569236314,804,24120,0.45131390011487954
08:00:00,408.1400970925718,804,24120,0.5076369366823033
08:30:00,617.1917646704283,805,24150,0.766697844311091
09:00:00,488.3557201542344,805,24135,0.6066530685145769
09:30:00,1258.8482314887906,804,24067,1.5657316312049634
10:00:00,1079.0255450757788,802,24060,1.3454183853812705
10:30:00,905.073586625817,803,24070,1.1271153009038817
11:00:00,791.8645255205008,803,24090,0.9861326594277718
11:30:00,720.6281262567371,803,24090,0.8974198334455008
12:00:00,665.6660794046796,803,24090,0.8289739469547691
12:30:00,629.4548011213499,803,24090,0.7838789553192402
13:00:00,646.1784697999583,789,23324,0.8189841188846113
13:30:00,611.8460627599059,773,23190,0.7915214265975496
14:00:00,645.6402185389901,773,23190,0.8352396100116302
14:30:00,631.7963662566194,773,23190,0.8173303573824313
15:00:00,629.2156162373548,773,23190,0.8139917415748444
15:30:00,731.3422609956806,773,23190,0.9461090051690564
16:00:00,433.1191797010739,773,23190,0.5603094174658136
16:30:00,240.4081219505535,773,23189,0.3110066260679864
17:00:00,3.8911447691566994,406,406,0.009584100416642117
18:00:00,443.6483308424607,807,24179,0.5497501001765313
18:30:00,255.70512897420105,806,24178,0.31725202105980277
19:00:00,276.39090939460607,806,24166,0.3429167610354914
19:30:00,249.3588782423112,806,24180,0.30937826084653997
20:00:00,325.6922866897324,806,24180,0.4040847229401146
20:30:00,280.0324798241394,806,24180,0.3474348384914881
21:00:00,271.2366669321628,806,24180,0.33652191927067343
21:30:00,264.5378459148429,806,24180,0.3282107269414924
22:00:00,237.04287897382738,806,24180,0.2940978647317958
22:30:00,210.18469600969544,806,24180,0.2607750570839894
23:00:00,200.49843884675292,806,24155,0.2487573682962195
23:30:00,192.84816338817896,806,24177,0.23926571139972574
